Place Name,Safety Rating (5.0),Lighting,Lighting Score,Police Presence,Emergency Services (m),Crime Beat ID,Crowd Density,Overall Status
Anna Nagar Zone-16,3.5,Moderate,95%,Yes,228m,CHN2482,Low,Moderate
Maduravoyal Zone-36,2.8,Moderate,96%,No,1851m,CHN2483,High,Unsafe
Kottivakkam Zone-29,3.3,Good,66%,Yes,1031m,CHN2484,Low,Moderate
Perambur Zone-12,3.3,Good,68%,Yes,1343m,CHN2485,Low,Moderate
Guindy Zone-12,4.2,Moderate,71%,Yes,1024m,CHN2486,Low,Safe
Velachery East Zone-10,4.3,Poor,75%,Yes,1398m,CHN2487,Medium,Safe
Tambaram Zone-96,4.0,Good,70%,No,1839m,CHN2488,Low,Moderate
Thiruvanmiyur Zone-37,4.3,Moderate,75%,No,1128m,CHN2489,High,Safe
Sholinganallur Zone-1,4.4,Poor,93%,No,1085m,CHN2490,Low,Safe
Perambur Zone-80,4.1,Moderate,93%,Yes,1962m,CHN2491,High,Moderate
Adyar Zone-94,4.8,Moderate,95%,Yes,1733m,CHN2492,Low,Safe
Ambattur Zone-86,4.8,Good,86%,No,1389m,CHN2493,Low,Safe
Thiruvanmiyur Zone-18,3.1,Moderate,65%,Yes,450m,CHN2494,High,Unsafe
Manapakkam Zone-24,3.5,Good,66%,No,927m,CHN2495,Low,Moderate
Alwarpet Zone-12,4.9,Good,86%,No,506m,CHN2496,Low,Safe
Manapakkam Zone-22,4.1,Moderate,73%,Yes,1858m,CHN2497,High,Moderate
Aminjikarai Zone-46,3.1,Poor,100%,Yes,844m,CHN2498,Medium,Unsafe
George Town Zone-84,4.5,Moderate,86%,Yes,1432m,CHN2499,High,Safe
Washermanpet Zone-100,2.6,Moderate,65%,No,284m,CHN2500,Low,Unsafe
Mogappair Zone-51,3.2,Moderate,78%,Yes,1794m,CHN2501,Medium,Moderate
Maduravoyal Zone-48,2.6,Poor,70%,No,495m,CHN2502,Medium,Unsafe
Thiruvanmiyur Zone-30,4.6,Moderate,82%,No,1995m,CHN2503,Low,Safe
George Town Zone-25,3.3,Good,98%,No,287m,CHN2504,High,Moderate
Adyar Zone-4,3.2,Poor,70%,No,1432m,CHN2505,Medium,Moderate
Saidapet Zone-32,3.9,Good,66%,Yes,240m,CHN2506,Medium,Moderate
Poonamallee Zone-35,2.5,Good,70%,Yes,1295m,CHN2507,Low,Unsafe
Thousand Lights Zone-49,3.0,Poor,93%,Yes,805m,CHN2508,High,Unsafe
Kodambakkam Zone-37,3.4,Moderate,77%,Yes,1032m,CHN2509,Medium,Moderate
Alwarpet Zone-36,3.1,Moderate,94%,Yes,527m,CHN2510,Medium,Unsafe
Parrys Zone-77,4.7,Poor,66%,Yes,762m,CHN2511,Low,Safe
Royapuram Zone-38,2.6,Moderate,73%,Yes,1799m,CHN2512,Low,Unsafe
Ashok Nagar Zone-26,4.4,Moderate,84%,No,1036m,CHN2513,Medium,Safe
Teynampet Zone-75,3.2,Moderate,70%,Yes,513m,CHN2514,Medium,Moderate
Velachery Zone-20,4.0,Moderate,68%,Yes,1604m,CHN2515,Medium,Moderate
Vepery Zone-6,3.9,Moderate,63%,No,568m,CHN2516,Medium,Moderate
Villivakkam Zone-71,3.8,Moderate,88%,Yes,1045m,CHN2517,Low,Moderate
Perungudi Zone-92,2.8,Poor,98%,Yes,971m,CHN2518,Low,Unsafe
Royapettah Zone-49,4.5,Good,77%,No,366m,CHN2519,High,Safe
Parrys Zone-7,4.5,Good,84%,No,484m,CHN2520,High,Safe
Perambur Zone-15,4.0,Good,98%,No,1579m,CHN2521,Low,Moderate
Kottivakkam Zone-16,4.3,Poor,60%,Yes,518m,CHN2522,Low,Safe
Avadi Zone-68,4.5,Good,70%,Yes,333m,CHN2523,Low,Safe
Medavakkam Zone-98,3.9,Good,86%,No,354m,CHN2524,Low,Moderate
Villivakkam Zone-87,4.4,Moderate,62%,Yes,660m,CHN2525,High,Safe
Velachery East Zone-86,4.7,Poor,62%,Yes,591m,CHN2526,High,Safe
Vandalur Zone-38,4.4,Moderate,61%,Yes,1287m,CHN2527,High,Safe
Kotturpuram Zone-93,3.9,Good,96%,No,1500m,CHN2528,Medium,Moderate
Parrys Zone-1,4.6,Poor,75%,No,1215m,CHN2529,Low,Safe
Kotturpuram Zone-99,3.1,Good,65%,Yes,1670m,CHN2530,High,Unsafe
Perambur Zone-46,4.4,Good,74%,No,1727m,CHN2531,Medium,Safe
Egmore Zone-37,3.5,Moderate,60%,Yes,1320m,CHN2532,High,Moderate
Avadi Zone-43,3.9,Good,82%,No,1475m,CHN2533,High,Moderate
Perambur Zone-62,3.5,Moderate,70%,Yes,1677m,CHN2534,Low,Moderate
Perambur Zone-51,4.3,Moderate,92%,Yes,1043m,CHN2535,Low,Safe
Vadapalani Zone-66,4.2,Moderate,99%,No,331m,CHN2536,Low,Safe
Aminjikarai Zone-23,4.0,Good,80%,Yes,842m,CHN2537,Low,Moderate
Ayanavaram Zone-58,2.6,Poor,90%,No,464m,CHN2538,High,Unsafe
Ambattur Zone-79,4.8,Poor,76%,No,388m,CHN2539,Medium,Safe
Thiruvottriyur Zone-51,2.8,Good,82%,Yes,672m,CHN2540,High,Unsafe
Mogappair Zone-88,3.4,Moderate,85%,No,1323m,CHN2541,Low,Moderate
Ayanavaram Zone-21,4.0,Moderate,87%,Yes,1142m,CHN2542,Medium,Moderate
Velachery East Zone-60,3.1,Moderate,88%,No,1981m,CHN2543,Medium,Unsafe
Saidapet Zone-57,4.0,Good,89%,Yes,1221m,CHN2544,Medium,Moderate
Maduravoyal Zone-5,3.7,Poor,100%,No,553m,CHN2545,Low,Moderate
Thirumullaivoyal Zone-52,3.7,Good,86%,Yes,762m,CHN2546,High,Moderate
Kotturpuram Zone-91,4.5,Good,83%,No,1311m,CHN2547,Low,Safe
Perambur Zone-63,3.7,Poor,64%,Yes,836m,CHN2548,Low,Moderate
T Nagar Zone-66,4.5,Moderate,77%,No,397m,CHN2549,Low,Safe
Ambattur Zone-85,3.3,Good,90%,No,309m,CHN2550,High,Moderate
Velachery West Zone-15,3.2,Poor,88%,No,319m,CHN2551,Medium,Moderate
George Town Zone-52,4.5,Moderate,81%,Yes,520m,CHN2552,High,Safe
Washermanpet Zone-34,2.8,Poor,92%,Yes,1269m,CHN2553,Medium,Unsafe
Guindy Zone-36,4.8,Moderate,73%,Yes,698m,CHN2554,Medium,Safe
Kottivakkam Zone-31,3.0,Poor,100%,No,1381m,CHN2555,Medium,Unsafe
Guindy Zone-71,4.6,Poor,90%,Yes,1922m,CHN2556,Medium,Safe
Anna Nagar Zone-34,3.4,Good,98%,Yes,412m,CHN2557,High,Moderate
Egmore Zone-35,3.7,Poor,81%,Yes,1215m,CHN2558,Low,Moderate
Pallikaranai Zone-87,2.9,Good,99%,Yes,1854m,CHN2559,High,Unsafe
Kilpauk Zone-6,2.7,Poor,92%,No,267m,CHN2560,Medium,Unsafe
Thoraipakkam Zone-65,4.5,Poor,92%,No,698m,CHN2561,Medium,Safe
Vepery Zone-79,3.0,Poor,87%,No,574m,CHN2562,Medium,Unsafe
Tambaram Zone-8,3.1,Good,97%,No,392m,CHN2563,High,Unsafe
Ayanavaram Zone-63,4.7,Moderate,77%,No,1435m,CHN2564,High,Safe
Alwarpet Zone-30,2.7,Poor,76%,Yes,1923m,CHN2565,High,Unsafe
Pallavaram Zone-61,3.3,Good,69%,No,1304m,CHN2566,Medium,Moderate
Pallikaranai Zone-64,3.4,Moderate,64%,No,1512m,CHN2567,Medium,Moderate
Ashok Nagar Zone-82,4.5,Poor,66%,Yes,1002m,CHN2568,Low,Safe
Royapettah Zone-88,3.9,Good,65%,No,1744m,CHN2569,High,Moderate
Porur Zone-89,4.5,Good,85%,Yes,1585m,CHN2570,Medium,Safe
Thousand Lights Zone-43,2.8,Good,67%,Yes,1413m,CHN2571,Medium,Unsafe
Perungudi Zone-6,3.3,Moderate,98%,Yes,1864m,CHN2572,High,Moderate
Villivakkam Zone-18,3.9,Poor,63%,Yes,1746m,CHN2573,Low,Moderate
Royapuram Zone-71,4.5,Good,94%,Yes,1715m,CHN2574,Low,Safe
Manapakkam Zone-82,3.9,Poor,69%,No,608m,CHN2575,Low,Moderate
Tambaram Zone-42,3.8,Good,67%,No,1738m,CHN2576,Medium,Moderate
Vandalur Zone-27,2.5,Moderate,70%,No,1799m,CHN2577,Medium,Unsafe
Mylapore Zone-8,4.2,Good,97%,Yes,393m,CHN2578,High,Safe
Kottivakkam Zone-3,2.9,Good,76%,Yes,1008m,CHN2579,Medium,Unsafe
Thirumullaivoyal Zone-4,3.6,Good,61%,No,1812m,CHN2580,Low,Moderate
Mogappair Zone-92,2.8,Good,95%,Yes,977m,CHN2581,Medium,Unsafe
Mylapore Zone-89,2.5,Good,66%,No,220m,CHN2582,High,Unsafe
Velachery Zone-75,3.2,Poor,95%,Yes,1523m,CHN2583,High,Moderate
Thiruvanmiyur Zone-62,3.3,Good,87%,No,824m,CHN2584,Medium,Moderate
Villivakkam Zone-99,4.6,Moderate,85%,Yes,263m,CHN2585,Medium,Safe
Pallikaranai Zone-23,2.7,Poor,79%,Yes,1891m,CHN2586,High,Unsafe
Maduravoyal Zone-66,3.1,Poor,86%,Yes,773m,CHN2587,Medium,Unsafe
Royapettah Zone-9,2.6,Moderate,77%,No,728m,CHN2588,High,Unsafe
Pallavaram Zone-27,4.5,Good,99%,No,1723m,CHN2589,Low,Safe
Medavakkam Zone-23,4.3,Poor,60%,Yes,1331m,CHN2590,High,Safe
Mogappair Zone-18,4.0,Poor,93%,Yes,1736m,CHN2591,Medium,Moderate
Ashok Nagar Zone-8,4.4,Moderate,74%,No,1468m,CHN2592,Medium,Safe
Parrys Zone-52,3.9,Moderate,83%,Yes,845m,CHN2593,High,Moderate
Nungambakkam Zone-62,3.5,Poor,93%,Yes,765m,CHN2594,Low,Moderate
Vepery Zone-35,4.4,Good,86%,No,807m,CHN2595,Medium,Safe
Maduravoyal Zone-49,2.6,Good,76%,Yes,1414m,CHN2596,Medium,Unsafe
Avadi Zone-91,3.0,Poor,74%,No,813m,CHN2597,Medium,Unsafe
Teynampet Zone-5,2.6,Poor,89%,No,1326m,CHN2598,Low,Unsafe
Pallavaram Zone-92,4.6,Poor,72%,No,1339m,CHN2599,High,Safe
Kottivakkam Zone-59,4.0,Moderate,99%,Yes,915m,CHN2600,Medium,Moderate
Teynampet Zone-13,4.5,Good,68%,No,436m,CHN2601,Low,Safe
Ashok Nagar Zone-29,3.2,Good,77%,Yes,427m,CHN2602,Medium,Moderate
Adyar Zone-47,4.0,Moderate,89%,Yes,726m,CHN2603,Low,Moderate
Kodambakkam Zone-15,3.6,Good,91%,Yes,1636m,CHN2604,High,Moderate
Teynampet Zone-26,3.8,Moderate,88%,Yes,1676m,CHN2605,Medium,Moderate
T Nagar Zone-38,3.8,Poor,71%,No,1837m,CHN2606,High,Moderate
Royapuram Zone-49,3.7,Good,88%,No,1959m,CHN2607,Medium,Moderate
Manapakkam Zone-36,2.7,Moderate,70%,No,1326m,CHN2608,Low,Unsafe
Medavakkam Zone-81,3.7,Poor,60%,No,1139m,CHN2609,Medium,Moderate
Anna Nagar Zone-57,3.8,Moderate,88%,No,446m,CHN2610,Low,Moderate
Manapakkam Zone-43,3.1,Poor,89%,No,379m,CHN2611,High,Unsafe
Kilpauk Zone-2,2.9,Moderate,87%,Yes,1338m,CHN2612,Medium,Unsafe
Washermanpet Zone-82,3.6,Poor,64%,Yes,400m,CHN2613,High,Moderate
Tambaram Zone-57,4.3,Moderate,60%,No,1507m,CHN2614,Medium,Safe
Sholinganallur Zone-49,3.8,Poor,86%,No,1848m,CHN2615,High,Moderate
Ayanavaram Zone-9,3.8,Moderate,73%,Yes,1042m,CHN2616,Low,Moderate
Mylapore Zone-14,4.8,Good,80%,Yes,587m,CHN2617,High,Safe
Perungudi Zone-88,3.9,Good,67%,Yes,354m,CHN2618,Low,Moderate
Thiruvanmiyur Zone-71,2.8,Moderate,81%,Yes,1716m,CHN2619,Low,Unsafe
Nungambakkam Zone-76,3.5,Poor,92%,No,326m,CHN2620,Medium,Moderate
Medavakkam Zone-37,2.7,Moderate,78%,No,544m,CHN2621,Medium,Unsafe
George Town Zone-16,3.8,Poor,92%,No,1423m,CHN2622,Low,Moderate
Sholinganallur Zone-100,2.9,Poor,99%,No,276m,CHN2623,High,Unsafe
Chromepet Zone-95,3.5,Good,85%,Yes,1120m,CHN2624,Low,Moderate
Mogappair Zone-32,4.8,Moderate,97%,Yes,1419m,CHN2625,Medium,Safe
Chromepet Zone-5,4.2,Moderate,76%,Yes,1397m,CHN2626,High,Safe
Alwarpet Zone-60,4.8,Poor,98%,No,988m,CHN2627,Low,Safe
Avadi Zone-16,2.7,Moderate,72%,No,684m,CHN2628,Low,Unsafe
Anna Nagar Zone-76,2.8,Good,95%,Yes,1510m,CHN2629,Low,Unsafe
Teynampet Zone-44,3.0,Good,75%,No,635m,CHN2630,Low,Unsafe
Thiruvottriyur Zone-68,3.1,Poor,71%,Yes,1288m,CHN2631,Low,Unsafe
Chromepet Zone-17,2.7,Moderate,88%,Yes,806m,CHN2632,Low,Unsafe
Thirumullaivoyal Zone-43,3.9,Poor,77%,No,942m,CHN2633,High,Moderate
Kotturpuram Zone-17,4.0,Good,72%,Yes,1386m,CHN2634,Medium,Moderate
Manapakkam Zone-26,3.5,Good,75%,Yes,343m,CHN2635,Medium,Moderate
Nungambakkam Zone-34,4.4,Good,72%,Yes,654m,CHN2636,Low,Safe
Alwarpet Zone-77,4.1,Moderate,70%,No,256m,CHN2637,Medium,Moderate
Velachery Zone-4,3.3,Moderate,64%,No,1538m,CHN2638,Medium,Moderate
Pallavaram Zone-32,3.7,Good,87%,Yes,1383m,CHN2639,Low,Moderate
Vandalur Zone-35,4.5,Good,83%,Yes,316m,CHN2640,High,Safe
Teynampet Zone-9,4.1,Good,67%,Yes,832m,CHN2641,Low,Moderate
Thousand Lights Zone-77,3.1,Poor,76%,No,1219m,CHN2642,Medium,Unsafe
Saidapet Zone-89,2.5,Moderate,81%,No,793m,CHN2643,Medium,Unsafe
Ayanavaram Zone-82,4.5,Poor,71%,Yes,1193m,CHN2644,High,Safe
Thousand Lights Zone-52,3.0,Moderate,90%,No,1774m,CHN2645,Medium,Unsafe
Chromepet Zone-43,3.5,Good,94%,Yes,228m,CHN2646,Medium,Moderate
Anna Nagar Zone-49,3.8,Moderate,72%,Yes,1959m,CHN2647,Medium,Moderate
Velachery East Zone-8,3.2,Good,62%,Yes,1251m,CHN2648,Low,Moderate
Chromepet Zone-84,3.1,Moderate,62%,Yes,749m,CHN2649,High,Unsafe
Velachery West Zone-15,2.6,Poor,100%,Yes,1129m,CHN2650,Medium,Unsafe
George Town Zone-99,4.9,Moderate,63%,No,1766m,CHN2651,Low,Safe
Egmore Zone-2,3.1,Poor,67%,No,828m,CHN2652,High,Unsafe
Poonamallee Zone-28,4.2,Good,99%,Yes,315m,CHN2653,High,Safe
Mogappair Zone-46,2.5,Moderate,78%,No,347m,CHN2654,Low,Unsafe
Egmore Zone-32,4.1,Moderate,71%,No,1786m,CHN2655,Low,Moderate
Teynampet Zone-76,4.9,Good,61%,No,1640m,CHN2656,High,Safe
Nungambakkam Zone-2,3.5,Moderate,77%,Yes,1516m,CHN2657,Medium,Moderate
Kottivakkam Zone-55,2.8,Good,99%,Yes,1208m,CHN2658,Low,Unsafe
Perambur Zone-29,4.6,Poor,80%,Yes,1191m,CHN2659,Low,Safe
Guindy Zone-27,3.8,Poor,80%,No,1676m,CHN2660,Medium,Moderate
Nungambakkam Zone-56,4.0,Good,83%,Yes,1502m,CHN2661,Low,Moderate
Adyar Zone-56,3.2,Good,98%,Yes,1605m,CHN2662,Low,Moderate
Thoraipakkam Zone-21,3.3,Good,68%,Yes,1492m,CHN2663,High,Moderate
Porur Zone-61,3.7,Poor,89%,No,964m,CHN2664,Medium,Moderate
Velachery Zone-56,4.0,Moderate,66%,No,1834m,CHN2665,High,Moderate
Sholinganallur Zone-47,2.7,Good,63%,Yes,1859m,CHN2666,High,Unsafe
Aminjikarai Zone-41,3.7,Good,63%,Yes,1265m,CHN2667,Low,Moderate
Sholinganallur Zone-45,3.1,Moderate,66%,No,733m,CHN2668,Medium,Unsafe
Maduravoyal Zone-93,4.2,Poor,72%,No,666m,CHN2669,Medium,Safe
Mogappair Zone-35,3.6,Good,98%,Yes,1707m,CHN2670,Medium,Moderate
Thiruvottriyur Zone-58,3.5,Moderate,73%,No,1830m,CHN2671,High,Moderate
Kottivakkam Zone-1,4.0,Moderate,92%,Yes,280m,CHN2672,High,Moderate
Poonamallee Zone-50,4.2,Poor,73%,Yes,1797m,CHN2673,Low,Safe
Saidapet Zone-95,4.1,Poor,65%,No,1137m,CHN2674,Low,Moderate
Thirumullaivoyal Zone-25,2.7,Good,85%,Yes,1990m,CHN2675,Medium,Unsafe
Kotturpuram Zone-16,5.0,Poor,74%,No,589m,CHN2676,High,Safe
T Nagar Zone-70,2.9,Good,79%,Yes,1250m,CHN2677,High,Unsafe
Saidapet Zone-79,3.2,Moderate,96%,Yes,684m,CHN2678,High,Moderate
Saidapet Zone-26,4.5,Poor,99%,No,813m,CHN2679,Medium,Safe
Kottivakkam Zone-87,2.8,Poor,90%,Yes,438m,CHN2680,High,Unsafe
Thoraipakkam Zone-39,2.9,Good,80%,No,306m,CHN2681,Low,Unsafe
Velachery East Zone-31,3.0,Poor,87%,Yes,1738m,CHN2682,Low,Unsafe
Ayanavaram Zone-61,3.7,Poor,61%,No,650m,CHN2683,Low,Moderate
Maduravoyal Zone-45,4.1,Moderate,80%,Yes,979m,CHN2684,Low,Moderate
Thousand Lights Zone-23,2.5,Poor,93%,Yes,726m,CHN2685,High,Unsafe
Mylapore Zone-35,3.3,Poor,100%,Yes,1334m,CHN2686,High,Moderate
Mogappair Zone-59,4.5,Poor,71%,Yes,1156m,CHN2687,Low,Safe
Medavakkam Zone-48,4.5,Moderate,88%,No,1386m,CHN2688,High,Safe
Mogappair Zone-74,3.5,Poor,72%,No,733m,CHN2689,Medium,Moderate
Thoraipakkam Zone-83,3.8,Good,66%,No,837m,CHN2690,Low,Moderate
Mylapore Zone-73,4.9,Moderate,93%,No,1918m,CHN2691,High,Safe
Kodambakkam Zone-30,4.4,Poor,64%,Yes,632m,CHN2692,Medium,Safe
Mylapore Zone-87,4.9,Good,77%,Yes,252m,CHN2693,High,Safe
Kodambakkam Zone-60,3.5,Poor,60%,No,1417m,CHN2694,High,Moderate
Porur Zone-86,4.0,Good,93%,Yes,591m,CHN2695,High,Moderate
Manapakkam Zone-73,3.2,Moderate,81%,No,1709m,CHN2696,Medium,Moderate
Chromepet Zone-37,4.2,Good,80%,No,1455m,CHN2697,High,Safe
Vandalur Zone-5,3.3,Good,91%,Yes,942m,CHN2698,Medium,Moderate
Vepery Zone-5,4.2,Poor,64%,No,1154m,CHN2699,Medium,Safe
Pallavaram Zone-22,3.0,Moderate,67%,No,1792m,CHN2700,High,Unsafe
Royapuram Zone-22,4.3,Poor,94%,No,1614m,CHN2701,High,Safe
Velachery West Zone-80,4.9,Moderate,100%,No,555m,CHN2702,Low,Safe
Avadi Zone-11,3.8,Moderate,79%,Yes,1656m,CHN2703,Medium,Moderate
Nungambakkam Zone-18,3.9,Good,80%,No,1638m,CHN2704,Medium,Moderate
Washermanpet Zone-63,4.0,Moderate,83%,Yes,1523m,CHN2705,Low,Moderate
Pallavaram Zone-37,4.6,Poor,71%,Yes,1096m,CHN2706,Medium,Safe
T Nagar Zone-86,4.2,Poor,93%,No,1136m,CHN2707,High,Safe
Thousand Lights Zone-10,2.8,Poor,94%,No,1811m,CHN2708,Low,Unsafe
Egmore Zone-20,2.7,Poor,100%,Yes,1987m,CHN2709,Medium,Unsafe
Poonamallee Zone-98,4.4,Moderate,97%,Yes,1993m,CHN2710,High,Safe
Villivakkam Zone-85,3.7,Moderate,94%,Yes,1674m,CHN2711,Low,Moderate
Velachery East Zone-22,4.7,Moderate,90%,Yes,1974m,CHN2712,High,Safe
Kilpauk Zone-65,4.5,Poor,88%,Yes,560m,CHN2713,Medium,Safe
George Town Zone-78,4.3,Poor,82%,No,1039m,CHN2714,Medium,Safe
Thiruvottriyur Zone-89,4.1,Moderate,92%,Yes,1500m,CHN2715,Low,Moderate
Egmore Zone-24,3.0,Good,91%,No,596m,CHN2716,High,Unsafe
Royapettah Zone-86,4.0,Good,80%,No,1879m,CHN2717,High,Moderate
Ashok Nagar Zone-90,4.5,Good,68%,Yes,1958m,CHN2718,High,Safe
Parrys Zone-58,2.8,Poor,75%,Yes,1226m,CHN2719,Medium,Unsafe
Maduravoyal Zone-35,4.4,Good,98%,Yes,758m,CHN2720,Medium,Safe
Kottivakkam Zone-39,2.9,Moderate,82%,No,492m,CHN2721,High,Unsafe
T Nagar Zone-12,3.3,Moderate,68%,No,1870m,CHN2722,Medium,Moderate
Thousand Lights Zone-47,3.8,Good,100%,Yes,1891m,CHN2723,Low,Moderate
Parrys Zone-4,3.2,Poor,98%,Yes,1468m,CHN2724,Low,Moderate
Tambaram Zone-53,3.9,Good,80%,No,1238m,CHN2725,Low,Moderate
T Nagar Zone-69,3.1,Good,69%,Yes,1160m,CHN2726,Medium,Unsafe
Aminjikarai Zone-45,2.6,Good,65%,No,555m,CHN2727,Medium,Unsafe
T Nagar Zone-98,4.2,Poor,75%,No,628m,CHN2728,High,Safe
Perambur Zone-68,3.7,Poor,67%,Yes,1303m,CHN2729,Medium,Moderate
Kodambakkam Zone-10,3.3,Moderate,67%,Yes,850m,CHN2730,Low,Moderate
Royapuram Zone-71,4.8,Moderate,79%,Yes,1701m,CHN2731,Medium,Safe
T Nagar Zone-38,4.8,Moderate,94%,No,1280m,CHN2732,Low,Safe
Thirumullaivoyal Zone-85,3.6,Good,70%,No,1716m,CHN2733,Medium,Moderate
Pallavaram Zone-22,4.1,Good,70%,Yes,1813m,CHN2734,Low,Moderate
Aminjikarai Zone-42,4.2,Moderate,67%,Yes,1120m,CHN2735,High,Safe
Nungambakkam Zone-19,2.6,Good,92%,No,786m,CHN2736,High,Unsafe
Thiruvanmiyur Zone-13,3.8,Moderate,86%,No,433m,CHN2737,High,Moderate
Thousand Lights Zone-3,3.7,Moderate,71%,Yes,1024m,CHN2738,Low,Moderate
Egmore Zone-95,2.6,Poor,92%,Yes,215m,CHN2739,Low,Unsafe
Perambur Zone-47,4.6,Poor,95%,Yes,863m,CHN2740,High,Safe
Thoraipakkam Zone-97,4.1,Moderate,86%,No,648m,CHN2741,Medium,Moderate
Vadapalani Zone-8,4.9,Poor,94%,Yes,1819m,CHN2742,Low,Safe
Avadi Zone-88,3.1,Good,75%,No,220m,CHN2743,Low,Unsafe
Thirumullaivoyal Zone-78,2.7,Poor,82%,Yes,1768m,CHN2744,Low,Unsafe
George Town Zone-10,4.3,Poor,73%,No,1857m,CHN2745,High,Safe
Ambattur Zone-14,3.5,Poor,85%,No,1510m,CHN2746,High,Moderate
Perambur Zone-11,2.9,Good,79%,No,1344m,CHN2747,Low,Unsafe
Teynampet Zone-19,3.8,Poor,78%,Yes,1575m,CHN2748,High,Moderate
Royapuram Zone-29,5.0,Moderate,75%,Yes,1984m,CHN2749,Medium,Safe
Alwarpet Zone-16,4.2,Good,68%,No,331m,CHN2750,Medium,Safe
Nungambakkam Zone-52,4.4,Moderate,69%,No,255m,CHN2751,High,Safe
Medavakkam Zone-55,4.7,Good,96%,Yes,1627m,CHN2752,Low,Safe
Tambaram Zone-28,4.4,Poor,63%,Yes,1610m,CHN2753,Low,Safe
Mogappair Zone-59,4.6,Poor,81%,No,500m,CHN2754,Low,Safe
Avadi Zone-15,2.5,Moderate,69%,Yes,1298m,CHN2755,Low,Unsafe
Mogappair Zone-12,4.2,Moderate,84%,Yes,753m,CHN2756,Low,Safe
Mogappair Zone-70,3.2,Poor,82%,Yes,625m,CHN2757,Low,Moderate
Vadapalani Zone-75,3.9,Poor,79%,Yes,1921m,CHN2758,Low,Moderate
Royapuram Zone-26,3.4,Good,64%,Yes,1061m,CHN2759,Low,Moderate
Anna Nagar Zone-5,4.2,Poor,69%,Yes,201m,CHN2760,High,Safe
Velachery Zone-8,4.4,Good,86%,No,850m,CHN2761,Low,Safe
Tambaram Zone-29,3.0,Moderate,63%,Yes,1763m,CHN2762,Medium,Unsafe
Velachery West Zone-63,3.9,Poor,80%,No,1464m,CHN2763,Medium,Moderate
Nungambakkam Zone-25,3.1,Moderate,74%,Yes,936m,CHN2764,Low,Unsafe
Guindy Zone-64,2.9,Poor,80%,No,1270m,CHN2765,High,Unsafe
Saidapet Zone-87,4.8,Good,70%,No,1101m,CHN2766,High,Safe
Velachery West Zone-75,4.7,Moderate,76%,No,1923m,CHN2767,Low,Safe
Royapuram Zone-87,2.7,Poor,78%,No,580m,CHN2768,Low,Unsafe
Mylapore Zone-95,3.5,Poor,93%,Yes,828m,CHN2769,Medium,Moderate
Teynampet Zone-47,4.5,Poor,95%,No,1416m,CHN2770,Low,Safe
Nungambakkam Zone-67,3.0,Good,85%,No,1853m,CHN2771,Low,Unsafe
Parrys Zone-88,4.9,Moderate,67%,Yes,952m,CHN2772,Low,Safe
Pallikaranai Zone-63,2.9,Poor,74%,No,852m,CHN2773,Low,Unsafe
Medavakkam Zone-60,4.9,Moderate,98%,Yes,1719m,CHN2774,Low,Safe
Royapuram Zone-83,2.6,Poor,61%,Yes,1037m,CHN2775,High,Unsafe
Washermanpet Zone-9,2.8,Good,70%,Yes,1900m,CHN2776,Medium,Unsafe
Tambaram Zone-36,4.4,Good,75%,No,1724m,CHN2777,Medium,Safe
Thoraipakkam Zone-49,4.3,Poor,98%,Yes,1659m,CHN2778,Low,Safe
Parrys Zone-1,3.7,Good,69%,No,1165m,CHN2779,Medium,Moderate
Chromepet Zone-26,4.9,Good,86%,Yes,1306m,CHN2780,Low,Safe
Teynampet Zone-40,4.2,Good,64%,No,1023m,CHN2781,High,Safe
Vadapalani Zone-33,3.3,Moderate,82%,Yes,1757m,CHN2782,Low,Moderate
Kotturpuram Zone-42,3.4,Good,73%,No,402m,CHN2783,High,Moderate
Velachery Zone-78,3.7,Moderate,65%,Yes,1757m,CHN2784,High,Moderate
Royapettah Zone-50,4.3,Moderate,72%,Yes,1101m,CHN2785,High,Safe
George Town Zone-95,3.7,Poor,100%,No,612m,CHN2786,High,Moderate
Ashok Nagar Zone-23,4.6,Good,64%,Yes,1398m,CHN2787,Medium,Safe
Parrys Zone-7,3.0,Moderate,91%,Yes,1457m,CHN2788,Low,Unsafe
Vadapalani Zone-66,3.2,Poor,99%,Yes,1410m,CHN2789,Low,Moderate
Aminjikarai Zone-99,3.2,Moderate,86%,No,479m,CHN2790,Low,Moderate
Porur Zone-64,3.0,Poor,94%,Yes,1374m,CHN2791,Medium,Unsafe
Thirumullaivoyal Zone-57,3.9,Good,75%,Yes,1436m,CHN2792,Low,Moderate
Ayanavaram Zone-4,3.5,Moderate,98%,No,994m,CHN2793,High,Moderate
Perambur Zone-25,3.2,Moderate,95%,No,236m,CHN2794,Low,Moderate
Medavakkam Zone-7,4.7,Good,63%,Yes,1278m,CHN2795,High,Safe
Anna Nagar Zone-78,3.0,Poor,89%,Yes,1530m,CHN2796,Medium,Unsafe
George Town Zone-22,2.5,Poor,86%,No,1398m,CHN2797,Medium,Unsafe
Velachery Zone-15,4.1,Poor,80%,No,874m,CHN2798,Medium,Moderate
Thousand Lights Zone-8,4.9,Good,87%,Yes,377m,CHN2799,Low,Safe
Vepery Zone-24,3.3,Poor,94%,No,601m,CHN2800,Medium,Moderate
Kodambakkam Zone-54,4.1,Good,72%,Yes,1158m,CHN2801,Medium,Moderate
Medavakkam Zone-80,4.9,Good,79%,No,767m,CHN2802,Medium,Safe
